TOA5,CR1000,CR1000,8841,CR1000.Std.25,CPU:lab6_CS.CR1,58691,CS
TIMESTAMP,RECORD,Batt_Volt_Min,T_CS,RH_CS,,,
TS,RN,Volts,degC,%,,,
,,Min,Smp,Smp,,,
2020-02-14 11:19,297,13.15,24.07,2.342,,,
2020-02-14 11:19,298,13.15,24.07,2.325,,,
2020-02-14 11:19,299,13.15,24.09,2.325,,,
2020-02-14 11:19,300,13.14,24.07,2.359,,,
2020-02-14 11:19,301,13.15,23.98,2.376,,,
2020-02-14 11:19,302,13.14,23.97,2.342,,,
2020-02-14 11:19,303,13.14,24,2.325,,,
2020-02-14 11:19,304,13.14,24.07,2.325,,,
2020-02-14 11:19,305,13.14,24,2.376,,,
2020-02-14 11:19,306,13.14,24.1,2.376,,,
2020-02-14 11:19,307,13.15,24.05,2.325,,,
2020-02-14 11:19,308,13.14,23.95,2.308,,,
2020-02-14 11:19,309,13.15,24,2.325,,,
2020-02-14 11:19,310,13.15,24.07,2.342,,,
2020-02-14 11:19,311,13.14,24.12,2.376,,,
2020-02-14 11:19,312,13.15,23.97,2.325,,,
2020-02-14 11:19,313,13.15,24.05,2.308,,,
2020-02-14 11:19,314,13.14,24.07,2.359,,,
2020-02-14 11:19,315,13.14,24.04,2.376,,,
2020-02-14 11:19,316,13.15,24.09,2.342,,,
2020-02-14 11:19,317,13.14,24.09,2.308,,,
2020-02-14 11:19,318,13.14,24,2.308,,,
2020-02-14 11:19,319,13.15,24.07,2.308,,,
2020-02-14 11:19,320,13.14,24.05,2.325,,,
2020-02-14 11:19,321,13.14,24.09,2.325,,,
2020-02-14 11:19,322,13.14,24.05,2.308,,,
2020-02-14 11:19,323,13.14,23.99,2.291,,,
2020-02-14 11:19,324,13.14,24.02,2.325,,,
2020-02-14 11:19,325,13.14,24.02,2.291,,,
2020-02-14 11:19,326,13.14,24.05,2.291,,,
2020-02-14 11:19,327,13.14,24.05,2.274,,,
2020-02-14 11:19,328,13.14,24.05,2.291,,,
2020-02-14 11:19,329,13.14,24.07,2.274,,,
2020-02-14 11:19,330,13.15,24.04,2.257,,,
2020-02-14 11:19,331,13.15,24.05,2.257,,,
2020-02-14 11:19,332,13.14,24,2.257,,,
2020-02-14 11:19,333,13.14,24.05,2.24,,,
2020-02-14 11:19,334,13.14,24.05,2.291,,,
2020-02-14 11:19,335,13.14,24.05,2.24,,,
2020-02-14 11:19,336,13.14,24.09,2.24,,,
2020-02-14 11:19,337,13.14,23.99,2.24,,,
2020-02-14 11:19,338,13.14,23.95,2.223,,,
2020-02-14 11:19,339,13.14,24.1,2.223,,,
2020-02-14 11:19,340,13.14,24.05,2.206,,,
2020-02-14 11:19,341,13.14,24.07,2.206,,,
2020-02-14 11:19,342,13.14,23.99,2.206,,,
2020-02-14 11:19,343,13.14,24.05,2.172,,,
2020-02-14 11:19,344,13.14,24.09,2.206,,,
2020-02-14 11:19,345,13.14,24.04,2.172,,,
2020-02-14 11:19,346,13.14,24.05,2.206,,,
2020-02-14 11:19,347,13.14,24.02,2.189,,,
2020-02-14 11:19,348,13.14,24.05,2.138,,,
2020-02-14 11:19,349,13.15,24.09,2.155,,,
2020-02-14 11:19,350,13.14,24,2.138,,,
2020-02-14 11:19,351,13.14,24.05,2.155,,,
2020-02-14 11:19,352,13.14,24.09,2.155,,,
2020-02-14 11:19,353,13.14,24.02,2.138,,,
2020-02-14 11:20,354,13.14,24.02,2.121,,,
2020-02-14 11:20,355,13.14,23.99,2.172,,,
2020-02-14 11:20,356,13.14,23.97,2.121,,,
2020-02-14 11:20,357,13.14,24,2.087,,,
2020-02-14 11:20,358,13.14,23.99,2.104,,,
2020-02-14 11:20,359,13.14,24,2.087,,,
2020-02-14 11:20,360,13.14,24.04,2.121,,,
2020-02-14 11:20,361,13.14,24.04,2.07,,,
2020-02-14 11:20,362,13.14,24.02,2.104,,,
2020-02-14 11:20,363,13.14,24.02,2.104,,,
2020-02-14 11:20,364,13.13,23.99,2.104,,,
2020-02-14 11:20,365,13.14,24.04,2.104,,,
2020-02-14 11:20,366,13.14,24.02,2.104,,,
2020-02-14 11:20,367,13.14,24.02,2.104,,,
2020-02-14 11:20,368,13.14,24,2.138,,,
2020-02-14 11:20,369,13.14,24,2.104,,,
2020-02-14 11:20,370,13.14,24.04,2.087,,,
2020-02-14 11:20,371,13.13,24.04,2.087,,,
2020-02-14 11:20,372,13.13,24,2.053,,,
2020-02-14 11:20,373,13.14,24,2.087,,,
2020-02-14 11:20,374,13.14,23.99,2.087,,,
2020-02-14 11:20,375,13.14,24,2.07,,,
2020-02-14 11:20,376,13.14,24.04,2.053,,,
2020-02-14 11:20,377,13.14,24,2.053,,,
2020-02-14 11:20,378,13.14,23.99,2.053,,,
2020-02-14 11:20,379,13.14,23.97,2.053,,,
2020-02-14 11:20,380,13.14,24,2.036,,,
2020-02-14 11:20,381,13.14,24,2.036,,,
2020-02-14 11:20,382,13.14,23.99,2.036,,,
2020-02-14 11:20,383,13.13,23.99,2.053,,,
2020-02-14 11:20,384,13.13,23.99,2.036,,,
2020-02-14 11:20,385,13.14,24,2.036,,,
2020-02-14 11:20,386,13.14,24.04,2.019,,,
2020-02-14 11:20,387,13.13,23.99,2.019,,,
2020-02-14 11:20,388,13.14,23.99,2.002,,,
2020-02-14 11:20,389,13.14,23.97,2.036,,,
2020-02-14 11:20,390,13.14,23.97,2.019,,,
2020-02-14 11:20,391,13.14,24.02,2.036,,,
2020-02-14 11:20,392,13.13,23.99,2.002,,,
2020-02-14 11:20,393,13.13,23.97,1.985,,,
2020-02-14 11:20,394,13.14,23.95,1.985,,,
2020-02-14 11:20,395,13.14,23.99,1.985,,,
2020-02-14 11:20,396,13.13,24.04,2.002,,,
2020-02-14 11:20,397,13.13,24,2.002,,,
2020-02-14 11:20,398,13.14,24,2.002,,,
